Season,Team,MatchID
2020,Pittsburgh Panthers,12
2020,Louisiana. Ragin Cajuns,11
2020,Texas State Bobcats,11
2020,Appalachian State Mountaineers,10
2020,Georgia Southern Eagles,10
2020,Virginia Tech Hokies,9
2020,Georgia State Panthers,9
2020,Virginia Cavaliers,8
2020,Central Arkansas Bears,8
2020,South Alabama Jaguars,8
2020,Duke Blue Devils,8
2020,Wake Forest Demon Deacons,7
2020,Arkansas State Red Wolves,7
2020,Arkansas–Little Rock Trojans,7
2020,North Carolina Tar Heels,6
2020,Texas Longhorns,6
2020,Notre Dame Fighting Irish,6
2020,Oklahoma State Cowgirls,6
2020,Louisville Cardinals,6
2020,Miami Hurricanes,6
2020,West Virginia Mountaineers,6
2020,Clemson Tigers,6
2020,Baylor Bears,6
2020,Coastal Carolina Chanticleers,6
2020,Iowa State Cyclones,6
2020,Florida State Seminoles,6
2020,Ole Miss Rebels,5
2020,Texas Tech Red Raiders,5
2020,Citadel Bulldogs,5
2020,Texas Christian Horned Frogs,5
2020,Tennessee Volunteers,5
2020,Syracuse Orange,5
2020,South Carolina Gamecocks,5
2020,Troy Trojans,5
2020,Georgia Bulldogs,5
2020,ULM Warhawks,5
2020,Miss Lady Bulldogs,5
2020,Vanderbilt Commodores,5
2020,Mercer Bears,5
2020,Alabama Crimson Tide,5
2020,Kentucky Wildcats,5
2020,Kansas State Wildcats,5
2020,Kansas Jayhawk,5
2020,Arkansas Razorbacks,5
2020,Boston College Eagles,5
2020,Missouri Tigers,4
2020,Oklahoma Sooners,4
2020,Florida Gators,4
2020,LSU Lady Tigers,4
2020,Texas A&M Aggies,4
2020,Auburn Tigers,3
2020,Stephen F. Austin Ladyjacks,3
2020,Abilene Christian Wildcats,2
2020,Navy Midshipmen,2
2020,UAB Blazers,1
2020,Houston Baptist Huskies,1
2020,Louisiana Techsters,1
2020,Lamar Lady Cardinals,1
